	control	NAFL	NAFLD/NASH	NASH
median_Age	65	54.5	61	54
SD_Age	14.29766	9.368387	9.389711	8.80556
min_Age	33	47	42	41
max_Age	77	72	77	65
median_BMI	35.6157	29.92329	31.49167	22.35019
SD_BMI	6.268059	6.301485	5.875286	2.037508
min_BMI	26.85185	23.4375	22.95684	18.83334
max_BMI	43.79833	42.86922	44.51754	25.58052
median_weight	88.8	87.5	94.8	68
SD_weight	13.15249	21.1318	16.95982	13.95411
min_weight	83	60	62.5	49
max_weight	117.8	142	127.9	97
median_SULF2	1.355262	1.372178	1.498902	1.016101
SD_SULF2	0.537245	0.3558893	0.3046284	0.3377959
min_SULF2	0.974238	1.202361	1.175901	0.802626
max_SULF2	2.867655	2.155488	2.110884	1.928121
median_CAP_dB_per_m	329	307	338	225
SD_CAP_dB_per_m	50.11986	60.16394	46.86247	38.41243
min_CAP_dB_per_m	250	241	228	132
max_CAP_dB_per_m	400	388	395	271
median_VCTE_kPa	10.45	8.15	18.9	3.95
SD_VCTE_kPa	8.70397	4.07431	7.537836	1.641207
min_VCTE_kPa	5.1	5.1	8.9	2.6
max_VCTE_kPa	36.5	17	30.9	7.5
median_ASAT_ukat_per_l	0.64	0.645	0.97	0.355
SD_ASAT_ukat_per_l	0.5239962	0.1919114	0.3831198	0.2087844
min_ASAT_ukat_per_l	0.45	0.36	0.32	0.22
max_ASAT_ukat_per_l	2.14	0.88	1.53	1.02
median_ALAT_ukat_per_l	0.795	1	0.77	0.415
SD_ALAT_ukat_per_l	1.00641879	0.62850351	0.50299997	0.09225705
min_ALAT_ukat_per_l	0.58	0.31	0.44	0.24
max_ALAT_ukat_per_l	3.87	1.85	2.11	0.54
T2D_no	12	4	5	5
T2D_yes	0	2	8	8
