metric	at_inclusion	post diet	1y follow-up
median_BMI	37.05902	31.60990	31.42283
SD_BMI	3.016425	2.892907	4.503632
min_BMI	32.07612	27.05515	22.28374
max_BMI	41.98045	38.72353	39.51952
median_weight	112.1	 97.1	 96.0
SD_weight	15.47659	12.49221	18.24133
min_weight	90.6	79.8	64.4
max_weight	143.3	130.3	138.6
median_age	48.24192	48.24192	48.24192
SD_age	12.43488	12.43488	12.43488
min_age	20.433	20.433	20.433
max_age	64.61187	64.61187	64.61187
median_SULF2	0.8965736	0.6573852	0.6750772
SD_SULF2	0.3338969	0.2518230	0.3910451
min_SULF2	0.4546741	0.2224423	0.2164711
max_SULF2	1.845290	1.260774	2.201937
median_wbtot_pfat	40.13971	37.75473	34.33513
SD_wbtot_pfat	6.402379	7.054493	7.608023
min_wbtot_pfat	28.03800	24.61565	18.09597
max_wbtot_pfat	51.43372	49.02181	50.10919
median_android_pfat	44.06250	39.64831	37.36530
SD_android_pfat	4.467521	5.996651	7.353374
min_android_pfat	31.62082	27.00492	16.57181
max_android_pfat	50.56077	50.06088	50.78672
median_p_cholesterol	4.9	3.9	4.5
SD_p_cholesterol	1.2401897	0.9105267	1.1517954
min_p_cholesterol	2.6	2.0	2.3
max_p_cholesterol	8.1	5.7	8.7
median_p_cholesterol_ldl	3.00	2.30	2.75
SD_p_cholesterol_ldl	1.0094326	0.8203873	1.0110027
min_p_cholesterol_ldl	1.1	0.6	0.9
max_p_cholesterol_ldl	5.0	4.1	6.8
median_p_alat	28	31	22
SD_p_alat	19.677478	32.989850	 9.908994
min_p_alat	15	12	14
max_p_alat	106	197	 65
median_homa_ir	3.3950	1.4920	2.1035
SD_homa_ir	1.9510248	0.8452419	1.2661825
min_homa_ir	1.186	0.319	0.675
max_homa_ir	8.625	3.868	6.901
median_ms_z	 0.72195359	 0.06010870	-0.05788023
SD_ms_z	0.6127347	0.4647531	0.5981791
min_ms_z	-0.8089190	-0.8300584	-1.7737464
max_ms_z	2.1057290	1.0685289	0.9458792
